2016-10-20 03:51:08.565 [error] <0.40.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-20 06:59:43.936 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-20 23:11:13.795 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-22 00:25:35.641 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-23 02:38:46.837 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-24 23:24:40.629 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-25 05:38:00.551 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-25 06:22:35.072 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-25 22:13:11.267 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-28 04:06:31.473 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
2016-10-29 05:43:41.320 [error] <0.42.0>@gen_mod:validate_opts:334 unknown option 'mod_access' for module 'mod_register' will be likely ignored, available options are: 'access', 'access_from', 'captcha_protected', 'ip_access', 'iqdisc', 'password_strength', 'registration_watchers', 'welcome_message'
